Lost Art ID;Hersteller/Künstler/Autor:in;Titel;Datierung;Beschreibung;namen_neu;Q_Nummer;datum_neu;datum_alt;spalte
586417;Becker, ? [Künstler:in];Das Briefduett aus Figaro's Hochzeit;;signiert;Becker (?);Q223943;0;0;1
414724;Purrmann, Hans [Künstler:in];Bildnis Frau Silberberg;1921 [Datierung];"u.l.: Purrmann; Maße unbekannt";Hans Purrmann;Q655484;1921;0;1
271802;Purrmann, Hans [Künstler:in];Blumenstillleben / Großes Gladiolenstillleben / Blumenstillleben auf grauem Grund / Blumenstrauß mit grauem Wandschirm (?);;rechts unten H. Purrmann;Hans Purrmann;Q655484;0;0;1
579058;Gauermann, Friedrich [Künstler:in];View Jahreszeiten - Frühling;1860 [Datierung];Literatur: Hradní Muzeum Český Krumlov (ISBN 978-80-85033-29-8), mit Abb.;Friedrich Gauermann;Q669760;1860;0;1
594424;Rotari, Pietro Antonio (Conte) [Künstler:in];Brustbild einer jungen Frau;;verso ggfs. alte Schlossinventarnummern und Besitzvermerke: Königlich-sächsische Secondogenitur oder Königliche Garde-Meubles-Verwaltung;Pietro Antonio Conte Rotari;;0;0;1
271801;Levy, Rudolf [Künstler:in];Blumenstück;1922 [Datierung];derzeit keine weiteren Angaben verfügbar;Rudolf Levy;;1922;0;1
583581;Bochmann, Gregor von [Künstler:in];Estnischer Bauer;;bezeichnet;Gregor von Bochmann;;0;0;1
585265;Rigaud, Hyacinthe [Künstler:in];"Herrenportret; Mansportret; Robert Le Peletier des Forts / Herrenporträt";;Auf der Rückseite Aufkleber mit Inventarnummer und Siegel.;Hyacinthe Rigaud;Q49898;0;0;1
586416;Kupfer, Johann Michael [Künstler:in];Zwei Genreszenen;;signiert;Johann Michael Kupfer;Q1695562;0;0;1
584935;Maris, Jacob Henricus [Künstler:in];Stadgezicht Amsterdam / Ansichtvon Amsterdam;;"signiert; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Jacob Henricus Maris;;0;0;1
578987;Hamilton, Johann Georg de [Künstler:in];"Graues Pferd ""Restain Casa"" mit schwarzem Stallburschen";1705 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1705;0;1
578957;Vos, Paul de [Künstler:in];Hunde und eine Katze in einem Schlachthof;1650/1700 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Paul de Vos;Q2610964;1650;0;1
586494;Vadder, Lodewyk de [Künstler:in];Landschap / Waldlandschaft mit Hirten und Vieh;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Lodewyk de Vadder;;0;0;1
579056;Zimmermann, (?) [Künstler:in];Alpine Landschaft;1850 [Datierung];Literatur: Hradní Muzeum Český Krumlov (ISBN 978-80-85033-29-8), mit Abb.;Zimmermann (?);Q203704;1850;0;1
581591;Mignon, Léon [Künstler:in];Zwei nackte Frauen;;Aktstudien zweier nackter Frauen. Oben zweimal bezeichnet: L. Mignon;Léon Mignon;Q3271202;0;0;1
586853;Flatter, Joseph Otto [Künstler:in];Porträt;;;Joseph Otto Flatter;Q131937956;0;0;1
581582;Krüger, Franz [Künstler:in];Zwei Sonntagsreiter;;Vorn zwei Reiter, der Hagere auf einem Pony, der Feiste auf einem Fuchs, im Hintergrund weitere Reiter. Rückseitig Echtheitsbestätigung von Prof. Dr. G. J. Kern. Stammt aus der Sammlung Brose. Vgl. Lithographie dazu von Meyerheim Nr. 328 der Auktion bei der Galerie Fischer, Luzern, vom 21.03.1942. Vgl. Weidmann: Franz Krüger, Abb. S. 31;Franz Krüger;Q568298;0;0;1
587147;Canaletto, Antonio (Art des / style of ?) [Künstler:in];Der Canal Grande in Venedig mit mehreren Gondeln / Het Canale Grande te Venetië met verschillende gondelvaarders;;;Antonio style of Canaletto (?);;0;0;1
584351;Bol, Ferdinand [Künstler:in];Vertumne et Pomone / Vertumnus und Pomona;;"Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Ferdinand Bol;;0;0;1
586781;Nemec, Karel (1879) [Künstler:in];Landschaft;;;Karel Nemec;;0;0;1
596004;Longhi, Alessandro [Künstler:in];Mansportret / Porträt eines Mannes;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Alessandro Longhi;Q1855242;0;0;1
583620;Kreutzer, Felix [Künstler:in];Ansicht einer Hafenstadt;;bezeichnet;Felix Kreutzer;;0;0;1
319373;Naiveu, Matthys [Künstler:in];Marktszene auf der Piazza Navona in Rom;1691 [Datierung];"signiert und datiert unten links: M. Naiveu 1691; Dr. Max Stern, Galerie-Inventar-Nr. 24http://www.concordia.ca/arts/max-stern/missing-works/stern-inventory-1936-37/2.html";Matthys Naiveu;;1691;0;1
595697;Beyer, Otto (1885) [Künstler:in];Blumenstillleben in weiß bemalter Keramik-Henkelkanne;1913 [Datierung];mit Signatur und Datierung unten links: Otto Beyer 13;Otto Beyer;Q15837877;1913;0;1
579028;Hamilton, Johann Georg de [Künstler:in];Tier;1725 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1725;0;1
583605;Heimig, W. [Künstler:in];Dame in Weiß;;bezeichnet;W Heimig;;0;0;1
591199;Roos, Philipp Peter [Künstler:in];Ein Hirte mit Schafen und Hunden;;;Philipp Peter Roos;Q470655;0;0;1
586517;Wit, Jakob de [Künstler:in];Allegorie des Christentums / Allegorie;;"Links unten voll bezeichnet (signiert); auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Jakob de Wit;;0;0;1
527244;Thoma, Hans [Künstler:in];Friedliches Tal;1892 [Datierung];"monogrammiert und datiert; Blick von einer Anhöhe mit Baumgruppen auf einen Weiher im TalLit.: Henry Thode. Hans Thoma (Klassiker der Kunst), Stuttgart 1909, S. 356";Hans Thoma;Q678094;1892;0;1
578971;Adolf, Josef Frantisek [Künstler:in];Braunes Pferd mit rotem Sattel;1757 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Josef Frantisek Adolf;;1757;0;1
587146;Cambiaso, Luca [Künstler:in];Die Heilige Magdalena mit einer Perlenkette / De Heilige Magdalena met paarlesnoer;;;Luca Cambiaso;Q712512;0;0;1
302422;Kanoldt, Alexander [Künstler:in];Olevano / Gebirgslandschaft mit Stadt und Burg;;rechts unten signiert;Alexander Kanoldt;Q62544;0;0;1
417898;Liebermann, Max [Künstler:in];Martha Liebermann und Enkelin;1922 [Datierung];r.o. Nachlass-Stempel;Max Liebermann;Q158062;1922;0;1
594395;Dietrich, Christian Wilhelm Ernst [Künstler:in];Ein paar Gegenstücke;;mit weiblichen Rokokofiguren als Allegorien des Frühlings und Herbstes;Christian Wilhelm Ernst Dietrich;Q536581;0;0;1
308003;Hackaert, Jan [Künstler:in];Aufbruch zur Falkenjagd;;Auf einer zwischen hohen kräftigen Waldbäumen sich schlängelnden Straße, die rechts im Mittelpunkt verschwindet, eine Jagdgesellschaft mit Wagen und Hunden, Treibern, Falknern und Jägern. Mitte vorn Dame und Herr zu Pferde, begleitet von zwei Hunden. Goldrahmen. Ehemals Petersburg, Eremitage. Ehemals Petersburg, Sammlung Miatleff. Gegenstück in deutschem Privatbesitz;Jan Hackaert;Q1351444;0;0;1
308662;Berckheyde, Job [Künstler:in];Fischmarkt in Amsterdam;;"Im Vordergrund überdachte Marktstände mit zahlreichen Fischhändlern und Herren und Damen. Rechts am Ufer ein Fischer mit einem Netz über der Schulter und neben ihm ein springender Hund. Dahinter Segelboote. Im Hintergrunde die alte Stadtwaage, die ""Oude Kerk"" und das ehemalige Amsterdamer Rathaus. Goldener Rahmen. Ausgestellt in der Ausstellung ""Oude Kunst"" in Amsterdamer Rijksmuseum 1929, Kat.-Nr. 8 (mit Abbildung). Ausgestellt in der ""College art association"", New York 1932.";Job Berckheyde;;0;0;1
308724;Pannini, Giovanni Paolo [Künstler:in];Römisches Ruinenbild;;"Links das Pantheon, davor die Kolossalstatue des Herkules Farnese, verschiedene antike Fragmente weiter nach rechts; ganz am Rande rechts eine korinthische Tempelfront. Im Hintergrund eine Pyramide. Staffagefiguren. Das Bild ist vorwiegend in gelbgrünen und hellgrauen Farben gehalten. Goldener Rahmen. Aus der ehemaligen Sammlung Cremer (Galeriewerk Cremer, Textband S. 47).";Giovanni Paolo Pannini;Q286670;0;0;1
475815;Krüger, Franz [Künstler:in];Zar Nikolaus zu Pferde;;;Franz Krüger;Q568298;0;0;1
308026;Robert, Hubert [Künstler:in];Die Pyramide des Cestius;;Im Vordergrund links vor Baumgruppe Grabmonument und umgestürzte Architekturreste, dazwischen zwei menschliche Gestalten. Dahinter groß und grau die Steinpyramide. Goldrahmen.;Hubert Robert;Q548205;0;0;1
584738;"Dyck, Anton van [Künstler:in]
Rubens, Peter Paul [Künstler:in]";"Vrouwenkop (schets); Porträt einer Frau (Skizze)";;;;;0;0;1
573880;Erdtelt, Alois [Künstler:in];Bildnis eines älteren Mannes;;Hageres, bartloses Gesicht. Offener Hals über dunklem Gewand, schwarze Mütze. Brustbild fast von vorn. Bezeichnet oben links: A. Erdtelt 78.Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 68;Alois Erdtelt;Q30017593;0;0;1
579060;Gauermann, Friedrich [Künstler:in];Vier Jahreszeiten - Winter;1860 [Datierung];Literatur: Hradní Muzeum Český Krumlov (ISBN 978-80-85033-29-8), mit Abb.;Friedrich Gauermann;Q669760;1860;0;1
581564;Blechen, Karl [Künstler:in];Lesender Mönch;;Lesender Mönch, in Kreuzgang sitzend. Ausblick auf Landschaft mit Kirche. Ausgestellt in der Kunsthalle Bern Mai/Juni 1940;Karl Blechen;;0;0;1
592016;Klimt, Gustav [Künstler:in];Supraporte (Die Musik);1897/98 [Datierung];"nach Weidinger, Nr. 119: Die Musik, Datierung: 1897/98, Ort: urspr. Musikzimmer, Palais Dumba, Wien I, Parkring 4, Foramt: 150 x 200 cm, Technik: Öl auf Leinwand, bez. r. u.: »GUSTAV KLIMT«, Provenienz: Nikolaus Dumba, Wien; August und Serena Lederet; Wien; Erich Lederer, Genf;Ausstellungen: Wien (Secession, I. Ausst.) 1898, Nr. 200; Dresden (Internationale Kunstausst.) 1901, Nr. 354; Karlsruhe (Jubiläumsausst.) 1902, o. N.; Wien (Secession, XVIII. Ausst.) 1903/04, Nr. 21; Wien (Secession, XCIX. Ausst.) 1928, Nr. 4; Wien (Secession) 1936, Nr.5 (Leihgabe August Lederer); Wien (Ausstellungshaus Friedrichstraße, ehemalige Secession) 1943, Nr. 20 (Abb.), Skizzen: Strobl, I, Nr. 289, 290, 292-295, 297-299";Gustav Klimt;Q34661;1897;0;1
583655;Sandrock, L. [Künstler:in];Lokomobile;;bezeichnet;L Sandrock;;0;0;1
578997;Hamilton, Johann Georg de [Künstler:in];"Braunes Pferd ""Sanségal"" mit englischem Stallburschen";1711 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;1711;0;1
576179;Gogh, Vincent van [Künstler:in];Holländische Landschaft;;signiertQuelle: WGA Akte;Vincent van Gogh;Q5582;0;0;1
592007;Klimt, Ernst (1864) [Künstler:in];Hanswurst (Skizze für das Plafond des Burgtheaters);1886–1887 [Datierung];nach BDA Wien Restitutionsmaterialien Karton 9 Karteikarte Sammlung Lederer Nr. 95: Ernst Klimt, Öl auf Leinwand, Titel: Hanswurst (Skizze für das Plafond des Burgtheaters);Ernst Klimt;Q1358994;1886–1887;0;1
594439;Tischbein, Johann Heinrich (der Ältere) [Künstler:in];Bildnis einer jungen fürstlichen Dame;;;Johann Heinrich Tischbein the Elder;;0;0;1
594409;Malleyn, Gerrit [Künstler:in];Zwei Panneaux;1786 (ca.) [Datierung];mit exotischen Landschaften, Felsen, Flussläufe, Palmen und Wasservögel (Flamingos, Papageien, Enten u. a.);Gerrit Malleyn;Q3104315;0;1786;1
580679;Nolde, Emil [Künstler:in];Novemberschnee;;;Emil Nolde;Q152788;0;0;1
584732;Defrance, Léonard [Künstler:in];Stilleven / Stillleben;1762 [Datierung];Signiert und datiert 1762;Léonard Defrance;;1762;0;1
585245;Oudry, Jean-Baptiste [Künstler:in];Jachthond / Jagdhund;;"Signiert; Auf der Rückseite Aufkleber mit Inventarnummer und Siegel.";Jean-Baptiste Oudry;Q737137;0;0;1
585260;Ragueneau, Abraham [Künstler:in];Man / Porträt;1660 [Datierung];Auf der Rückseite Aufkleber mit Inventarnummer und Siegel.;Abraham Ragueneau;Q16842301;1660;0;1
257539;Felixmüller, Conrad [Künstler:in];Bildnis Robert Graetz;1934 [Datierung];Signatur nicht bekannt;Conrad Felixmüller;Q693095;1934;0;1
271836;Corinth, Lovis [Künstler:in];Mädchen beim Haarpflechten / Mädchen am Spiegel;1911 [Datierung];Signatur: l. m. Lovis Corinth;Lovis Corinth;Q157610;1911;0;1
522249;Vermeer, Jan (der Ältere) [Künstler:in];Waldlandschaft;1689 [Datierung];"Mentioned in a letter from Stern to Dr. Hans Schneider at the RKD dated September 3, 1936. A photograph of this painting at the RKD (BD0586, Landschappen: Jacob van Ruisdael, J. Vermeer v. Haarlem 4) is mounted on card stock that includes the following: “J. Vermeer v. Haarlem / Dk. 84 x 120 c.M. / Gem.: J.v.d. Meer 1689 (1686?) / Vlg. Souheur, Keulen, 7-4-1921, no. 228 / Gal. Stern, Dusseldorp (1936) / Foto J. Söhn.”Die Weltkunst (Ausstellungen der Woche), Jahrg. X, Nr. 43 vom 1. November 1936; Jahrg. X, Nr. 44 vom 8. November 1936.";Jan Vermeer the Elder;Q1888498;1689;0;1
583902;"Aertsen, Pieter (in Manier des) [Künstler:in]
Francken, Hieronymus der Jüngere [Künstler:in]";Ohne Titel (Stilleven / Stillleben);;"Stilleven met Jan Steen-kan, brood, citrusvruchten en olijven, links in de achtergrond een doorkijk naar een paar op een landwe; Rijkeluismaal / Stillleben mit Jan Steen Krug, Brot, Zitrusfrüchten und Oliven, links im Hintergrund ein Blick zu einem Paar auf einem Feld; reichhaltige Mahlzeit;auf der Rückseite Aufkleber mit Inventarnummer und Siegel (siehe PDF ""GoudstikkerArtResearchProject.PDF"")";;;0;0;1
405194;Grosz, George [Künstler:in];Im 28. Stock / Schlafstube;1918 [Datierung];;George Grosz;Q107194;1918;0;1
586775;Schweininger, ? [Künstler:in];Alter Baum;;;Schweininger (?);;0;0;1
583643;Perkand, Alexander [Künstler:in];Stillleben;;bezeichnet;Alexander Perkand;;0;0;1
400520;Hirzel, Manfred [Künstler:in];2 Porträts von Familienmitgliedern;1928 (um) [Datierung];;Manfred Hirzel;Q19931491;0;1928;1
585184;Neer, Aert van der (der Ältere) [Künstler:in];"Landschap bij maanlicht; Maanlandschap / Landschaft im Mondlicht";;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Aert van der Neer the Elder;;0;0;1
308731;Pynacker, Adam [Künstler:in];Italienische Landschaft;;Im Mittelgrund einer felsigen Gegend ein Wasserfall, Vorn eine Ziegenherde, links ein Hirt und eine Hirtin. In der sonnigen Ferne Berge. Voll bezeichnet A. Pynacker in der Mitte unten. Goldrahmen.;Adam Pynacker;Q979137;0;0;1
573879;Erdtelt, Alois [Künstler:in];Weiblicher Rückenakt;1881 [Datierung];Weiblicher Rückenakt sitzend vor schwarz changierendem Grunde. Bezeichnet: A. Erdtelt, Mchn. 1881.Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 67;Alois Erdtelt;Q30017593;1881;0;1
594425;Rotari, Pietro Antonio (Conte) [Künstler:in];Brustbild eines kleinen Landmädchens;;verso ggfs. alte Schlossinventarnummern und Besitzvermerke: Königlich-sächsische Secondogenitur oder Königliche Garde-Meubles-Verwaltung;Pietro Antonio Conte Rotari;;0;0;1
585189;Neufchatel, Nicolas [Künstler:in];Portret van een dame / Damenbildnis;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Nicolas Neufchatel;;0;0;1
452431;Liebermann, Max [Künstler:in];"Kopf des Obersten der ""St. Georgschützen"" aus dem Jahre 1627";1876 [Datierung];"Kopie nach Frans Hals; wahrscheinlich Nachlass-Stempel";Max Liebermann;Q158062;1876;0;1
577683;Huber, Ernst [Künstler:in];Winterlandschaft;1930 [Datierung];signiert;Ernst Huber;Q1358756;1930;0;1
406120;Schuch, Carl [Künstler:in];Olevano / Die steinerne Treppe;1875 [Datierung];verfallene Steintreppe in Olevano, ein Mann mit Mantel über der Schulter geht an Kellereingang vorbei in die Höhe;Carl Schuch;;1875;0;1
308758;Vermeer, Jan (der Ältere) [Künstler:in];Bewaldete Dünenlandschaft;;Im Vordergrund ein Dünenhügel. In der Mitte Hütten zwischen Bäumen. In der Ferne das Meer. Rechts unten voll bezeichnet: J. v. Meer und datiert 1666. 1838 in der Sammlung N. de Reynier als Jacob van Ruisdael. Goldener Rahmen.;Jan Vermeer the Elder;;0;0;1
574864;Trübner, Wilhelm [Künstler:in];Salome;;bez.: W. Trübnernackte blonde Frauengestalt vor grüner Blätterwand, in den Händen Silberschale mit dem Haupt des Täufers;Wilhelm Trübner;Q461271;0;0;1
584366;Breitner, George Hendrik [Künstler:in];Dame in het zwart / Dame in Schwarz;;"Signiert; Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";George Hendrik Breitner;Q289441;0;0;1
581551;Blechen, Karl [Künstler:in];Stillleben;;Stillleben mit Blumenvase, Mandoline, Fruchtkörbchen auf Tisch im Freien. Aus dem Besitz der Jolanthe von Donop. Ausgestellt in der Kunsthalle Bern Mai/Juni 1940;Karl Blechen;;0;0;1
583580;Beelt, Cornelis [Künstler:in];Strandszene;;Zahlreiche Personengruppen bewegen sich auf dem Strand und den Ausläufern der Dünen am Rande eines Fischerdorfes, dessen letzte Häuser und Kirche links im Bilde sichtbar werden. Im Mittelpunkt befindet sich ein alter Wartturm. Unbezeichnet.;Cornelis Beelt;Q327395;0;0;1
580247;Nolde, Emil [Künstler:in];Masken;;Quelle: D - LAB, B Rep 025-08, Nr. 11959, 11960, 11961, 11962, 11963/60;Emil Nolde;Q152788;0;0;1
308664;Bisschop, Abraham [Künstler:in];Hühnerhof;;In der Mitte ein schreitender Hahn, daneben vier Hühner. Im Vordergrunde eine Elster. Rechts Blumen, dahinter ein Baumstumpf und Architekturteile mit einem Pilaster. In der Ferne ein Zug Wildenten. Schwarzer Rahmen. Aus norddeutschen Adelsbesitz.;Abraham Bisschop;Q4668793;0;0;1
577567;Urbach, Josef [Künstler:in];Familienporträt;1925 [Datierung];Familienportrait;Josef Urbach;Q52150830;1925;0;1
576406;Klein-Chevalier, Friedrich [Künstler:in];Brückenbauer;;Zwei Arbeiter, einen Balken mit der Handsäge durchschneidend. Leinwand. Bezeichnet: Klein-Chevalier;Friedrich Klein-Chevalier;Q19960109;0;0;1
579054;Schönberger, Lorenz Adolf [Künstler:in];Blick auf das Schloss Hluboká im Mondschein;1800 [Datierung];Literatur: Hradní Muzeum Český Krumlov (ISBN 978-80-85033-29-8), mit Abb.;Lorenz Adolf Schönberger;Q19569538;1800;0;1
534370;Pippel, Otto [Künstler:in];Im Festsaal;;Quelle: PL - AP Wrocław, RW, I/16886.;Otto Pippel;;0;0;1
595992;Horemans, Jan Josef (1714) [Künstler:in];Hed afscheid / Der Abschied;;"zur Reise gerüsteter junger Kavalier, im Begriff, Pferd zu besteigen, empfängt, dem Beschauer den Rücken wendend, die letzten Ermahnungen eines Abbés. Hinter ihnen ein Reiter, rechts weinende Frauen. Links zu Pferde ein Diener. Schlossähnliche Architekturkulisse mit Säulenvorbau; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Jan Josef Horemans;Q26777186;0;0;1
581561;Blechen, Karl [Künstler:in];Die frühere Müllerstraße in Berlin;;Landschaft mit Lehmgruben, im Mittelgrund zwei Bäume. Ausgestellt in der Kunsthalle Bern Mai/Juni 1940;Karl Blechen;;0;0;1
591207;;Kürassier (Jany Konck);;;;Q85221364;0;0;1
584914;Koning (Koninck), Philips (de) [Künstler:in];Portret v. e. heer (verm. Broer van Prof. Schooten, Pieter van der Burch, 1625-1691) / Porträt eines Herrren (vermutlich Bruder von Prof. Schooten, Pieter van der Burch, 1625-1691);1656 [Datierung];"Mitte rechts signiert und datiert: P. Koninck/1656; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Philips de Koning Koninck;;1656;0;1
586415;Ruß, Leander [Künstler:in];Brustbild einer Dame;;signiert;Leander Ruß;;0;0;1
584359;Bray, Jan de [Künstler:in];Concierge Haarlem´s Stadhuis / Hausmeister des Rathauses;;"Rechts unten Signatur: J. Bray ft.; Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"")";Jan de Bray;Q541789;0;0;1
580661;Bengen, Harold [Künstler:in];Schimmel;;;Harold Bengen;Q1585771;0;0;1
576263;Faistauer, Anton [Künstler:in];Zwei weibliche Akte;1913 [Datierung];rechts unten bezeichnet: A. Faistauer/13;Anton Faistauer;Q589241;1913;0;1
580665;"Kalckreuth, Leopold von (Graf) (?) [Künstler:in]
Kalckreuth, Stanislaus von (Graf) (?) [Künstler:in]";Balkon;;;;;0;0;1
582647;Matisse, Henri [Künstler:in];Szene mit weiblichen Akten (une scène de femmes nues);;bezeichnet: Matisse;Henri Matisse;Q5589;0;0;1
257537;Felixmüller, Conrad [Künstler:in];Apfelblüte - Klotzsche Dorf;1931 [Datierung];"bez. o. r.: C. Felixmüller 31; gerahmt; Erhaltungszustand (Lt. Grisebach-Katalog 1995): ""Kleines Loch rechts von der Bildmitte, minimale Retuschen, am Unterrand etwas fleckig.""Literatur: Spielmann, 1996, WVNr. 500 (Abb.)";Conrad Felixmüller;Q693095;1931;0;1
584349;Bol, Ferdinand [Künstler:in];Officier / Offizier;;"Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Ferdinand Bol;Q374039;0;0;1
584412;Siberechts, Jan [Künstler:in];Landschap / Landschaft;1669 [Datierung];"Signiert und datiert 1669; Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"")";Jan Siberechts;;1669;0;1
306021;Hondekoeter, Melchior de [Künstler:in];Zwei Falken im Kampf mit einem Hahn und zwei Hühnern;;bez. M. D. Hondecoeter;Melchior de Hondekoeter;;0;0;1
403833;"Brakenburgh, Richard ((?)) [Künstler:in]
Neer, Eglon Hendrik van der ((?)) [Künstler:in]
Musscher, Michiel van ((?)) [Künstler:in]";Besuch des Arztes / Doktersbezoek;;;;;0;0;1
580666;Franck, Philipp (1860) [Künstler:in];Frühling;1901 [Datierung];;Philipp Franck;Q2086720;1901;0;1
567299;Rigaud, Hyacinthe [Künstler:in];Herrenporträt;;oval;Hyacinthe Rigaud;Q49898;0;0;1
579375;Amerling, Friedrich von [Künstler:in];Mädchenkopf;;Brustbild mit lila Gewand, Perlenschnur, Rosenkranz im HaarLiteratur: Günther Probst, Werkverzeichnis von Friedrich von Amerling, 1927, Nr. 1157 (als Besitzerin Malvine Stern erwähnt);Friedrich von Amerling;Q452397;0;0;1
594412;Nattier, Jean Marc [Künstler:in];Bildnis einer vornehmen jungen Dame;1736 [Datierung];bezeichnet links: Nattier pinx 1736;Jean Marc Nattier;;1736;0;1
530013;Bout und Boudewyns - Art des [Künstler:in];Volksbelustigung auf dem Markte einer italienischen Stadt;;;Bout und Boudewyns - (?);;0;0;1
527264;Ruisdael, Jacob Isaackszoon van (Kreis des) [Künstler:in];Auf einem Waldweg Bauernkarren und Reiter in rotem Rock, rechts ein See;;;Jacob Isaackszoon van Ruisdael (?);;0;0;1
584760;"Giorgione [Künstler:in]
Moretto, Alessandro [Künstler:in]";Manskop / Kopf eines Mannes;;Porträt eines Mannes mit der Hand auf der Brust;Alessandro Giorgione Moretto;;0;0;1
580658;Hübner, Ulrich [Künstler:in];Travemünde;;;Ulrich Hübner;Q877843;0;0;1
573907;Corinth, Lovis [Künstler:in];Kleines Mädchen im Waschzuber;1917 [Datierung];"Literatur: Charlotte Berend-Corinth: Lovis Corinth, die Gemälde. Werkverzeichnis. München 1992. Kat. Nr. 703; Nationalgalerie (Hrsg.): Lovis Corinth. Ausstellung von Gemälden und Aquarellen zu seinem Gedächtnis. Berlin 1926. Kat. Nr. 281Quelle: D – LAB, B Rep. 025-05, Nr. 14767/59.";Lovis Corinth;Q157610;1917;0;1
586507;Vollon, Antoine [Künstler:in];Hooibergen / Heuhaufen;;"signiert; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Antoine Vollon;Q587078;0;0;1
579026;Hamilton, Johann Georg de [Künstler:in];Stilleben mit erlegtem Wild;1700/1725 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1700;0;1
307981;Beert, Osias (der Jüngere) [Künstler:in];Blumenstück;;Ovaler, brauner Blumenkorb auf Tischplatte, gefüllt mit weißen, rosa und roten vollerblühten Rosen, die zum Teil bereits abfallen. Dunkler Grund. Goldrahmen;Osias Beert the Younger;Q1857977;0;0;1
567297;"Lely, Peter (Kreis) [Künstler:in]
Lely, Peter [Künstler:in]";Damenbildnis;;"Marle & Bignell 24.02.1942: ""Leinwand, Höhe 110 cm, Breite 140 cm. Eine sehr schöne Leinwand des bekannten englischen Maler der 'Windsor Beauties' in Hampton Court. Wie in allen seinen Porträtstücken ist hier auch der Einfluss von Rubens spürbar, aber der Barock ist raffinierter und eleganter.""";;;0;0;1
580681;Baum, Paul [Künstler:in];Brücke;;;Paul Baum;Q541671;0;0;1
584915;Lairesse, Gerard de [Künstler:in];Hemelvaart Maria / Maria Himmelfahrt;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Gerard de Lairesse;Q533958;0;0;1
308697;Highmore, Joseph [Künstler:in];Damenbildnis;;Die lebensgroße Dame, die ein weißes Atlasgewand, lange Locken und eine hellblaue Schleife um den Hals trägt, sitzt nach vorn gewendet und blickt den Beschauer an. Mit beiden Händen hält sie ein reich verziertes ovales Relief mit einer Minervadarstellung. Links Blumenzweige, die von einem Felsvorsprung herabhängen. Rechts Ausblick in einen Park. Goldrahmen. Aus englischen Besitz.;Joseph Highmore;Q1707243;0;0;1
595945;Bonington, Richard Parkes [Künstler:in];Venetiaansche Courtisane / Zwei junge Damen;;"zwei junge Damen im weißem bzw. grünem Kleid. Die eine, in einem Armsessel sitzend, spielt Harfe; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Richard Parkes Bonington;Q380395;0;0;1
580690;Maclet, Élisée [Künstler:in];Place Voltaire;;;Élisée Maclet;;0;0;1
